evt,mtt,mu_pt,mu_abseta,pileup,weight,nevents,N_gen,gw_pos,gw_neg
0,486.1047485091153,167.76495,0.305542,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
1,483.0749561302334,167.76495,0.305542,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
2,419.4251495958573,167.76495,0.305542,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
3,740.471515006564,84.42948,0.05078125,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
4,716.6868097042857,84.42948,0.05078125,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
5,1669.0584826769632,416.46103,0.7602539,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
6,680.142049148325,416.46103,0.7602539,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
7,652.8723030106761,416.46103,0.7602539,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
8,900.7741491677532,81.99666,1.0671387,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
9,1523.893522547706,95.90037,0.15356445,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
10,1125.646125637987,95.90037,0.15356445,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
11,1436.0966896713498,222.9,0.975708,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
12,1968.3639457871589,90.6149,1.189209,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
13,2144.8127119781907,90.6149,1.189209,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
14,1437.8827081469594,90.6149,1.189209,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
15,1325.4017966519905,226.83968,1.401123,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
16,907.777763805692,173.32793,0.10139465,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
17,760.1286015867065,173.32793,0.10139465,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
18,1698.5058487042184,312.77835,1.5285645,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
19,1267.982208421835,258.36426,2.2768555,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
20,1034.9832678733171,258.36426,2.2768555,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
21,2394.3889468861894,121.63805,0.14456177,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
22,2172.0635407499635,121.63805,0.14456177,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
23,518.0783254733519,223.12561,0.70532227,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
24,1038.9044122976636,216.57254,0.256958,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
25,980.1121203632688,216.57254,0.256958,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
26,1081.6015802719428,216.57254,0.256958,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
27,1391.0185251173446,167.39062,0.29760742,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
28,1290.4222636029565,167.39062,0.29760742,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
29,1216.6281552641815,167.39062,0.29760742,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
30,1071.938477980197,167.39062,0.29760742,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
31,1549.606072579787,144.30267,0.2522583,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
32,1240.862473390475,144.30267,0.2522583,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
33,2289.117358882532,461.0185,0.18267822,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
34,1306.6528997479395,277.02026,0.9807129,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
35,1274.8537640855038,277.02026,0.9807129,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
36,1207.3323038276292,277.02026,0.9807129,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
37,1210.377540836776,280.8818,0.7939453,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
38,2459.2993839415744,103.01584,0.51586914,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
39,2305.413998176614,103.01584,0.51586914,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
40,2222.9278130834937,103.01584,0.51586914,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
41,980.3430641462858,83.042336,1.1496582,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
42,1756.4990331489353,79.780815,1.6120605,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
43,1498.2830166713336,79.780815,1.6120605,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
44,1481.6035124727102,293.3333,0.57995605,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
45,1452.894646683062,293.3333,0.57995605,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
46,2550.526550793937,154.1389,0.27392578,-999.0,-999.0,2186320.0,-999.0,-999.0,-999.0
47,1015.6417165088136,141.77185,1.5610352,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
48,984.4423594164724,141.77185,1.5610352,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
49,895.2725375895889,141.77185,1.5610352,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
50,1217.293433585048,212.00081,0.085494995,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
51,646.2360232373159,212.00081,0.085494995,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
52,2342.22093039353,129.52206,0.7930908,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
53,1875.9293786897056,129.52206,0.7930908,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
54,2529.4430040193583,348.2766,0.5050049,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
55,1429.999179344286,348.2766,0.5050049,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
56,656.1185080424685,112.50874,1.5639648,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
57,544.9752873344867,108.826775,0.7166748,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
58,558.9899591831698,108.826775,0.7166748,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
59,1019.3401349586808,79.14756,0.9178467,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
60,1013.3056832048468,79.14756,0.9178467,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
61,1531.2150061802015,157.82909,0.17034912,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
62,993.9459855665756,94.16643,0.3772583,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
63,404.8039084144626,94.16643,0.3772583,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
64,436.9399531868853,94.16643,0.3772583,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
65,1270.101266064818,254.85233,1.6635742,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
66,1173.8714505241237,254.85233,1.6635742,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
67,1304.984187245297,214.21136,1.1748047,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
68,528.9892267398657,97.242355,0.5950928,-999.0,-999.0,1846656.0,-999.0,-999.0,-999.0
