mtt,mu_pt,mu_abseta,weight,pileup
2446.1671754838103,286.80292,0.56311035,1.0,17.0
1583.9824330899792,335.98352,0.4996338,1.0,20.0
1582.976901355385,174.27818,0.6604004,1.0,29.0
1840.1985452705173,142.89392,0.15109253,1.0,23.0
1530.477757958104,143.76854,1.2028809,1.0,16.0
2329.1826047129143,258.05362,1.619873,1.0,33.0
2174.618523388064,124.0366,0.1494751,1.0,15.0
2342.8917500988955,289.1382,0.6710205,1.0,12.0
930.6913360714623,102.43585,1.473877,1.0,10.0
1610.8530146247217,247.62012,0.5904541,1.0,25.0
1951.5226639678515,178.49684,0.38104248,1.0,22.0
1962.814826511926,67.239975,1.2131348,1.0,26.0
2166.4922609484056,68.70199,0.32751465,1.0,24.0
1799.4534233265078,352.02756,1.157959,1.0,15.0
1750.162665322303,231.3864,0.09744263,1.0,16.0
1378.4381361963335,104.03699,1.2558594,1.0,31.0
1798.0726304391173,267.1378,0.5070801,1.0,24.0
1836.6656377101708,395.1421,0.65844727,1.0,31.0
1636.5611069209838,66.84264,0.7519531,1.0,28.0
2032.590585551228,140.55905,0.042770386,1.0,18.0
2204.551230236518,241.87216,0.59973145,1.0,24.0
2103.696499191605,233.65463,1.7097168,1.0,15.0
792.0060123313699,237.44884,1.1655273,1.0,23.0
1920.4076797449138,126.710335,0.3513794,1.0,21.0
1573.2554991333432,168.47466,0.9030762,1.0,8.0
2223.7657789003956,165.19702,0.57299805,1.0,21.0
2481.497321386727,586.8611,1.2060547,1.0,24.0
2085.054767135083,205.8087,0.41973877,1.0,32.0
1852.0889870497522,239.98418,0.46411133,1.0,29.0
1547.1312374985046,118.3792,1.697998,1.0,29.0
2376.2749483226494,203.41574,0.83862305,1.0,36.0
2490.034652084141,379.46375,0.74645996,1.0,24.0
2607.4004526665126,391.40518,1.0336914,1.0,15.0
1842.1990440824056,383.4507,1.7253418,1.0,15.0
1085.0454445911435,82.29292,1.6149902,1.0,18.0
2157.4321270817213,131.38615,0.122421265,1.0,11.0
2081.562508300707,137.29715,0.7076416,1.0,18.0
1989.469569213503,153.4136,1.2075195,1.0,24.0
2529.0681792409796,61.082798,0.25561523,1.0,15.0
1849.407463131942,129.41429,0.49334717,1.0,28.0
2106.149998200185,218.97136,0.12110901,1.0,13.0
1956.4266803337227,119.10813,1.0549316,1.0,18.0
1998.5399534447738,74.95146,1.0063477,1.0,15.0
1995.0929906617685,202.92438,0.6402588,1.0,21.0
1496.1601115691171,63.141823,0.7675781,1.0,17.0
2112.4422443245867,91.83199,0.174469,1.0,15.0
1245.1726699088401,77.50378,0.8145752,1.0,21.0
1908.8801175596311,272.88773,0.67907715,1.0,17.0
2024.514992305839,56.67064,0.720459,1.0,20.0
1381.9350141212624,116.11373,2.3398438,1.0,36.0
2278.4801629336935,159.06723,0.41357422,1.0,31.0
2001.0499808696002,90.79242,0.1579895,1.0,14.0
2244.7946108712113,96.96197,1.0700684,1.0,13.0
1420.922303774245,240.18867,0.12753296,1.0,24.0
2218.557511038826,112.08779,0.053474426,1.0,20.0
1924.7697993993559,196.81831,1.3808594,1.0,17.0
1704.5540719094888,179.23827,0.94055176,1.0,23.0
1359.0336265756434,157.70126,0.5209961,1.0,16.0
1758.9998677815686,146.15665,0.21636963,1.0,19.0
840.2584200296152,138.47522,0.2206726,1.0,20.0
2371.3203159684617,543.38074,1.1118164,1.0,13.0
1854.4181762067933,119.89552,1.2272949,1.0,33.0
2011.7496846292424,79.094055,0.13873291,1.0,18.0
2089.5448206889546,125.01597,1.3447266,1.0,14.0
1545.5578327885805,62.327515,1.4934082,1.0,26.0
2373.7381163138743,238.75049,0.70544434,1.0,22.0
1124.4093200706936,65.70727,0.9041748,1.0,27.0
2053.5206127686615,191.67978,0.89941406,1.0,14.0
736.4770534196902,111.585014,0.0003424883,1.0,21.0
1124.2722162247755,72.67478,0.6019287,1.0,25.0
1863.5496372942766,85.4639,0.002494812,1.0,12.0
